Average Max,Average Mean,Average Min,Average Variability,Centroid_Latitude,Centroid_Longitude,Number_Destination_Zones_in_Region,Region_Name,Time,Weekday
778.0,298.0,114.0,0.44879518072289154,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Thursdays
608.0,234.0,90.0,0.4517374517374517,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Thursdays
592.0,228.0,88.0,0.4523809523809524,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Thursdays
835.0,258.0,79.0,0.3412698412698413,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Thursdays
455.0,180.0,71.0,0.46875,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Tuesdays
775.0,296.0,113.0,0.4471299093655589,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Tuesdays
687.0,258.0,97.0,0.43728813559322033,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Tuesdays
567.0,218.0,84.0,0.45134575569358176,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Tuesdays
552.0,217.0,85.0,0.46466809421841543,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Tuesdays
784.0,252.0,81.0,0.3584637268847795,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Tuesdays
515.0,192.0,71.0,0.43243243243243246,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Wednesdays
855.0,321.0,121.0,0.4373297002724796,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Wednesdays
868.0,320.0,118.0,0.4266666666666667,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Wednesdays
665.0,246.0,91.0,0.42857142857142855,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Wednesdays
616.0,232.0,87.0,0.43856332703213613,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Wednesdays
836.0,260.0,80.0,0.3439153439153439,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Wednesdays
571.3333333333334,256.0,118.0,0.5821177067349123,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Fridays
743.3333333333334,344.0,167.33333333333334,0.6265430199763035,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Fridays
643.0,310.0,157.0,0.6800862753086806,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Fridays
567.6666666666666,265.0,130.33333333333334,0.6449063729583738,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Fridays
572.0,273.6666666666667,137.66666666666666,0.6659282831547456,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Fridays
581.0,221.33333333333334,89.0,0.4737427461695695,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Fridays
543.3333333333334,227.0,100.0,0.5445485037167014,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Mondays
648.6666666666666,300.0,146.66666666666666,0.6379792589556675,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Mondays
575.6666666666666,275.0,140.33333333333334,0.6955504302593766,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Mondays
518.6666666666666,246.33333333333334,123.0,0.6624894009676293,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Mondays
502.6666666666667,233.0,114.66666666666667,0.6390688914478602,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Mondays
592.0,229.66666666666666,93.66666666666667,0.4753486779744624,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Mondays
596.3333333333334,257.0,116.33333333333333,0.5645996930916386,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Saturdays
536.0,255.66666666666666,128.0,0.6602059418497525,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Saturdays
527.6666666666666,248.33333333333334,123.33333333333333,0.6577898797915748,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Saturdays
518.0,246.66666666666666,124.33333333333333,0.6712989557585275,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Saturdays
585.3333333333334,279.6666666666667,140.66666666666666,0.6653237070534299,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Saturdays
456.3333333333333,183.0,79.33333333333333,0.5220595431532836,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Saturdays
623.6666666666666,266.3333333333333,119.33333333333333,0.5567487687946597,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Sundays
502.0,230.33333333333334,111.66666666666667,0.6269316001956995,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Sundays
473.3333333333333,215.66666666666666,104.66666666666667,0.6283122077063145,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Sundays
469.3333333333333,210.66666666666666,100.33333333333333,0.6075386761642355,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Sundays
512.6666666666666,218.0,98.33333333333333,0.558759196142854,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Sundays
404.6666666666667,166.66666666666666,74.0,0.5480110076018518,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Sundays
552.6666666666666,236.66666666666666,105.66666666666667,0.5515492374809147,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Thursdays
820.0,368.3333333333333,174.33333333333334,0.5995937982290508,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Thursdays
722.0,335.3333333333333,164.66666666666666,0.6490236655611544,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Thursdays
547.6666666666666,259.3333333333333,129.66666666666666,0.6670298552993722,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Thursdays
560.0,262.3333333333333,129.66666666666666,0.6517748072814662,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Thursdays
636.3333333333334,246.0,99.33333333333333,0.4727000864258937,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Thursdays
499.6666666666667,221.66666666666666,101.0,0.5699384115604884,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Tuesdays
778.6666666666666,352.0,167.66666666666666,0.6087109528435554,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Tuesdays
681.3333333333334,321.3333333333333,161.33333333333334,0.6708596432923453,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Tuesdays
538.3333333333334,252.33333333333334,124.66666666666667,0.6526449272423922,38.90510748,-77.03665252,3,R3,08:00PM-10:00PM,Tuesdays
516.6666666666666,239.33333333333334,117.66666666666667,0.6415671663232915,38.90510748,-77.03665252,3,R3,10:00PM-12:00AM,Tuesdays
615.0,233.33333333333334,94.66666666666667,0.4753677341832751,38.90510748,-77.03665252,3,R3,07:00AM-09:00AM,Tuesdays
491.0,214.0,98.33333333333333,0.579736117995323,38.90510748,-77.03665252,3,R3,12:00AM-02:00AM,Wednesdays
861.3333333333334,394.0,188.66666666666666,0.6105315362857305,38.90510748,-77.03665252,3,R3,04:00PM-06:00PM,Wednesdays
744.3333333333334,352.3333333333333,174.66666666666666,0.6543580369945422,38.90510748,-77.03665252,3,R3,06:00PM-08:00PM,Wednesdays
